Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9370.000000,9370.000000,8935.000000,9005.000000,8725.292969,8051
2010-01-05,9005.000000,9210.000000,8885.000000,8915.000000,8638.088867,11448
2010-01-06,8990.000000,9545.000000,8880.000000,9440.000000,9146.780273,41703
2010-01-07,9600.000000,9670.000000,9340.000000,9445.000000,9151.626953,23390
2010-01-08,9530.000000,9530.000000,9300.000000,9370.000000,9078.956055,5945
2010-01-11,9435.000000,9540.000000,9260.000000,9300.000000,9011.131836,4329
2010-01-12,9365.000000,9825.000000,9250.000000,9470.000000,9175.849609,26857
2010-01-13,9380.000000,9550.000000,9150.000000,9445.000000,9151.626953,6508
2010-01-14,9540.000000,9710.000000,9450.000000,9560.000000,9263.054688,9040
2010-01-15,9600.000000,9730.000000,9435.000000,9470.000000,9175.849609,5167
2010-01-18,9490.000000,10190.000000,9480.000000,9880.000000,9573.115234,37640
2010-01-19,9900.000000,10075.000000,9575.000000,9650.000000,9350.260742,11810
2010-01-20,9750.000000,9750.000000,9480.000000,9615.000000,9316.346680,6167
2010-01-21,9600.000000,9875.000000,9275.000000,9500.000000,9204.917969,10972
2010-01-22,10000.000000,10000.000000,9095.000000,9240.000000,8952.995117,6728
2010-01-25,9280.000000,9280.000000,8835.000000,9000.000000,8720.449219,4929
2010-01-27,8905.000000,9030.000000,8600.000000,8725.000000,8453.991211,6476
2010-01-28,8760.000000,9015.000000,8500.000000,8715.000000,8444.300781,12380
2010-01-29,8600.000000,8820.000000,8410.000000,8710.000000,8439.456055,7101
2010-02-01,8660.000000,8960.000000,8660.000000,8770.000000,8497.591797,21940
2010-02-02,8890.000000,9210.000000,8720.000000,8805.000000,8531.505859,14007
2010-02-03,8990.000000,9160.000000,8900.000000,8965.000000,8686.536133,10384
2010-02-04,9000.000000,9040.000000,8625.000000,8685.000000,8415.233398,8170
2010-02-05,8310.000000,8725.000000,8310.000000,8680.000000,8410.388672,8268
2010-02-06,null,null,null,null,null,null
2010-02-08,8800.000000,8870.000000,8560.000000,8760.000000,8487.903320,3336
2010-02-09,8990.000000,8990.000000,8640.000000,8750.000000,8478.213867,14936
2010-02-10,8750.000000,8850.000000,8675.000000,8700.000000,8429.766602,4713
2010-02-11,8750.000000,9180.000000,8715.000000,8850.000000,8575.107422,58728
2010-02-15,8990.000000,8990.000000,8515.000000,8555.000000,8289.269531,13831
2010-02-16,8600.000000,8815.000000,8590.000000,8705.000000,8434.612305,10487
2010-02-17,8795.000000,9285.000000,8790.000000,9015.000000,8734.982422,58667
2010-02-18,9120.000000,9440.000000,9030.000000,9285.000000,8996.596680,64060
2010-02-19,9290.000000,9490.000000,9215.000000,9300.000000,9011.131836,18305
2010-02-22,9350.000000,9630.000000,9350.000000,9565.000000,9267.899414,42245
2010-02-23,9615.000000,10025.000000,9615.000000,9945.000000,9636.095703,40471
2010-02-24,9975.000000,10390.000000,9755.000000,10290.000000,9970.379883,41822
2010-02-25,10300.000000,10550.000000,10105.000000,10230.000000,9912.243164,19693
2010-02-26,10320.000000,10800.000000,10020.000000,10395.000000,10072.117188,22117
2010-03-02,10450.000000,10520.000000,10005.000000,10085.000000,9771.748047,34865
2010-03-03,10190.000000,10645.000000,10135.000000,10480.000000,10154.479492,14657
2010-03-04,10470.000000,10515.000000,10250.000000,10375.000000,10052.740234,7993
2010-03-05,10470.000000,10470.000000,10165.000000,10225.000000,9907.399414,3637
2010-03-08,10360.000000,10440.000000,10280.000000,10315.000000,9994.603516,19750
2010-03-09,10340.000000,10345.000000,10100.000000,10125.000000,9810.504883,4464
2010-03-10,10100.000000,10140.000000,9740.000000,9840.000000,9534.358398,6810
2010-03-11,9750.000000,10060.000000,9750.000000,9935.000000,9626.406250,6367
2010-03-12,10000.000000,10100.000000,9935.000000,9995.000000,9684.542969,4673
2010-03-15,9995.000000,9995.000000,9710.000000,9755.000000,9451.997070,3426
2010-03-16,9760.000000,9840.000000,9620.000000,9675.000000,9374.482422,2637
2010-03-17,9730.000000,9840.000000,9530.000000,9585.000000,9287.278320,3305
2010-03-18,9600.000000,9820.000000,9415.000000,9445.000000,9151.626953,6811
2010-03-19,9500.000000,9500.000000,9310.000000,9360.000000,9069.267578,3308
2010-03-22,9300.000000,9395.000000,8990.000000,9070.000000,8788.274414,16770
2010-03-23,9100.000000,9990.000000,9000.000000,9400.000000,9108.024414,19763
2010-03-25,9470.000000,10020.000000,9465.000000,9740.000000,9437.462891,55100
2010-03-26,9855.000000,10100.000000,9480.000000,9530.000000,9233.985352,11377
2010-03-29,9615.000000,10000.000000,9410.000000,9925.000000,9616.716797,13677
2010-03-30,9995.000000,9995.000000,9650.000000,9690.000000,9389.016602,3740
2010-03-31,9690.000000,9970.000000,9310.000000,9740.000000,9437.462891,29884
2010-04-01,9795.000000,9950.000000,9790.000000,9850.000000,9544.047852,3562
2010-04-05,9940.000000,9965.000000,9650.000000,9925.000000,9616.716797,2496
2010-04-06,9900.000000,10570.000000,9830.000000,10380.000000,10057.584961,38194
2010-04-07,10445.000000,10640.000000,10140.000000,10190.000000,9873.485352,12811
2010-04-08,10160.000000,10395.000000,10160.000000,10195.000000,9878.330078,11819
2010-04-09,10290.000000,11380.000000,10250.000000,11140.000000,10793.978516,51517
2010-04-12,11300.000000,11800.000000,11240.000000,11700.000000,11336.583984,43258
2010-04-13,11800.000000,11995.000000,11510.000000,11610.000000,11249.378906,27107
2010-04-15,11690.000000,12140.000000,11600.000000,11995.000000,11622.419922,33074
2010-04-16,12040.000000,13000.000000,11910.000000,12575.000000,12184.405273,56993
2010-04-19,12480.000000,12680.000000,12110.000000,12555.000000,12165.025391,24063
2010-04-20,12590.000000,12700.000000,12325.000000,12505.000000,12116.580078,11979
2010-04-21,12610.000000,12635.000000,12320.000000,12535.000000,12145.647461,12121
2010-04-22,12470.000000,12680.000000,12400.000000,12565.000000,12174.713867,10551
2010-04-23,12570.000000,12640.000000,12420.000000,12460.000000,12072.977539,4001
2010-04-26,12590.000000,12590.000000,12100.000000,12345.000000,11961.549805,5062
2010-04-27,12335.000000,12390.000000,12030.000000,12280.000000,11898.567383,6857
2010-04-28,11920.000000,12140.000000,11700.000000,11940.000000,11569.128906,3172
2010-04-29,12040.000000,12060.000000,11810.000000,11865.000000,11496.458008,2337
2010-04-30,12135.000000,12350.000000,11900.000000,12145.000000,11767.761719,5917
2010-05-03,12100.000000,12100.000000,11920.000000,12045.000000,11670.868164,2395
2010-05-04,12150.000000,12170.000000,11805.000000,11850.000000,11481.924805,1540
